Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Lin,Daoying:MATH-1302-001-COLLEGE ALGEBRA"	Mean	3.8846	3.8519	3.6667	4.1034	4.2222	3.8276
	N	26	27	30	29	27	29
"Lin,Jian:MATH-1316-010-MATH ECON & BUS ANLYS"	Mean	3.7619	3.2727	3.2273	3.8571	3.8182	3.4545
	N	21	22	22	21	22	22
"Lin,Jian:MATH-3330-003-MATRICES & LINEAR ALGEBRA"	Mean	4.1176	3.8	3.8	4.3529	4.2647	4.2059
	N	34	35	35	34	34	34
"Lind,Melissa:ECON-2306-001-PRIN MICRO ECO"	Mean	4.0303	3.9118	4.2353	4	4	4.0588
	N	33	34	34	34	33	34
"Lind,Melissa:ECON-2306-002-PRIN MICRO ECO"	Mean	4.2188	3.9375	4.25	4.3125	4.1875	4.2187
	N	32	32	32	32	32	32
"Lind,Melissa:ECON-3303-003-MONEY & BANKING"	Mean	4	3.925	4.025	3.85	4.225	4
	N	40	40	40	40	40	40
"Lind,Melissa:ECON-3303-006-MONEY & BANKING"	Mean	4.3158	4.2973	4.4474	4.2632	4.3243	4.2857
	N	38	37	38	38	37	35
"Linehan,Genevieve:ART-1305-001-TWO-DIMENSIONAL DESIGN"	Mean	4.0625	3.9375	4.3125	4.3125	4.3125	4.0667
	N	16	16	16	16	16	15
"Linehan,Genevieve:ART-1305-004-TWO-DIMENSIONAL DESIGN"	Mean	4	3.8571	3.7692	4.3571	4.5	3.8571
	N	14	14	13	14	14	14
"Ling-Tam,Jing:MUSI-1241-001-PRIVATE LESSONS IN VOICE"	Mean	4.5714	4.6667	4.8571	4.8571	4.5714	4.7143
	N	7	6	7	7	7	7
"Ling-Tam,Jing:MUSI-2240-001-PRIVATE LESSONS IN VOICE"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Ling-Tam,Jing:MUSI-2241-001-PRIVATE LESSONS IN VOICE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Ling-Tam,Jing:MUSI-3240-001-PRIVATE LESSONS IN VOICE"	Mean	5	4	5	5	5	5
	N	1	1	1	1	1	1
"Ling-Tam,Jing:MUSI-3241-001-PRIVATE LESSONS IN VOICE"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Ling-Tam,Jing:MUSI-4240-001-PRIVATE LESSONS IN VOICE"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Little,Thomas:POLS-2312-012-STATE & LOCAL GOVT"	Mean	4.0435	3.8261	3.7391	4.087	4	3.913
	N	23	23	23	23	23	23
"Little,Thomas:POLS-2312-703-STATE & LOCAL GOVT"	Mean	4	4	4	4	3	4
	N	1	1	1	1	1	1
"Liu,Chaoqun:MATH-5339-001-NUMERICAL ANALYSIS II"	Mean	4.5	4.25	4.25	4.375	4.875	4.625
	N	8	8	8	8	8	8
"Liu,Donggang:CSE-3320-001-OPERATING SYSTEMS"	Mean	4.0741	3.5926	3.7308	4.2963	4.1481	3.8846
	N	27	27	26	27	27	26
"Liu,Fuqiang:MSE-5390-002-SPEC TOPICS MSE"	Mean	4.5	4.5	4.6667	4.8333	4.5	4.6
	N	6	6	6	6	6	5
"Liu,Hanli:BE-5347-009-PRINCIPLES OF FUNCTIONAL MRI"	Mean	3.9167	3.9231	4.3846	3.8462	4	3.8462
	N	12	13	13	13	13	13
"Liu,Ping:PHYS-4325-001-SOLID STATE PHYSICS"	Mean	2	2.3846	2.8462	2.4615	3.1538	2.1538
	N	13	13	13	13	13	13
"Liu,Yaling:ME-5390-003-SPEC TOPICS MECH ENGR"	Mean	4.375	4.2857	4.1429	4.1429	4.2857	4.2857
	N	8	7	7	7	7	7
"Liu,Yonghe:CSE-4344-001-COMPUTER NETWORK ORGANIZATION"	Mean	4.4444	4.4444	4.4444	4.5556	4.5556	4.4444
	N	9	9	9	9	9	9
"Liu,Yonghe:CSE-6348-001-ADVANCES IN SENSOR NETWORKS"	Mean	4.1818	4.3333	4.5	4.5	4.75	4.5833
	N	11	12	12	12	12	12
"Liu,Yongmei:MANA-3318-001-MANA ORG BEHAV"	Mean	4.25	4.25	4.1875	4.2813	4.3125	4.25
	N	32	32	32	32	32	32
"Liu,Yongmei:MANA-3318-004-MANA ORG BEHAV"	Mean	4.3214	4	4.3103	4.4483	4.3214	4.2414
	N	28	29	29	29	28	29
"Liu,Yue:MATH-3318-001-DIFFERENTIAL EQUATIONS"	Mean	4.1111	3.7647	3.6111	4.2222	4.1765	3.7778
	N	18	17	18	18	17	18
"Liu,Yue:MATH-5392-001-SELECTED TOPICS IN MATH"	Mean	5	5	4.8333	5	5	4.8333
	N	6	6	6	6	6	6
"Lockwood,James:FINA-3313-005-BUSINESS FINANCE"	Mean	3.9167	3.8163	3.9583	3.4681	3.8261	3.7234
	N	48	49	48	47	46	47
"Lockwood,James:FINA-3313-006-BUSINESS FINANCE"	Mean	4.25	4.2407	4.2642	3.8704	3.8545	4.0943
	N	52	54	53	54	55	53
"Lockwood,James:FINA-3317-001-FINANCIAL INSTIT & MARKETS"	Mean	3.1212	3.2424	3.129	2.7188	3.4063	3.0333
	N	33	33	31	32	32	30
"Lockwood,James:FINA-3317-002-FINANCIAL INSTIT & MARKETS"	Mean	3.6379	3.4483	3.5	3.2069	3.5517	3.6102
	N	58	58	58	58	58	59
"Long,Dwight:MANA-4322-005-ORGANIZATIONAL STRATEGY"	Mean	4.6129	4.6061	4.7273	4.7879	4.7879	4.8182
	N	31	33	33	33	33	33
"Long,Dwight:MANA-4322-007-ORGANIZATIONAL STRATEGY"	Mean	4.3143	4.2286	4.2286	4.5278	4.5429	4.6667
	N	35	35	35	36	35	36
"Long,Dwight:MANA-4322-008-ORGANIZATIONAL STRATEGY"	Mean	4.4688	4.3438	4.5937	4.5161	4.625	4.5806
	N	32	32	32	31	32	31
"Long,Dwight:MANA-4322-009-ORGANIZATIONAL STRATEGY"	Mean	4.2353	4.4444	4.5556	4.4375	4.5	4.5556
	N	17	18	18	16	18	18
"Long,Dwight:MANA-4322-010-ORGANIZATIONAL STRATEGY"	Mean	4.9333	4.8	4.8667	4.8667	4.7333	4.6667
	N	15	15	15	15	15	15
"Long,Melinda:COMS-3302-014-PROF & TECH COMM"	Mean	4.6667	4.5455	4.5455	4.7273	4.4545	4.7273
	N	21	22	22	22	22	22
"Long,Stephen:EXSA-0167-001-SOCCER"	Mean	4.8125	4.5882	4.7647	4.625	4.8824	5
	N	16	17	17	16	17	17
"Long,Stephen:EXSA-0167-002-SOCCER"	Mean	4.7368	4.7368	4.7368	4.8421	4.7895	4.8421
	N	19	19	19	19	19	19
"Lookingbill,Lindsay:EXSA-0165-003-PILATES"	Mean	4.8571	4.85	4.85	4.85	4.85	4.7619
	N	21	20	20	20	20	21
"Lopez-Preciado,Luis:ADVT-2337-001-INTRO TO ADVERTISING"	Mean	4.3723	4.0549	4.4505	4.5543	4.4301	4.2065
	N	94	91	91	92	93	92
"Lopez-Preciado,Luis:ADVT-4300-001-INTEGRATED MKTG COMM STUDIES"	Mean	3.75	3.4286	4.5185	4	4.2857	3.4074
	N	28	28	27	28	28	27
"Lopez,Nicolette:PSYC-3301-001-PSYCHOLOGY OF HUMAN RELATIONS"	Mean	4.5476	4.5814	4.7619	4.7619	4.4048	4.5
	N	42	43	42	42	42	42
"Lopez,Nicolette:PSYC-5327-001-INDUS/ ORGANIZATION INTERN"	Mean	4.3333	4.5	4.8333	4.6667	5	4.6667
	N	6	6	6	6	6	6
"Lopez,Nicolette:PSYC-6191-019-RESEARCH IN PSYCHOLOGY"	Mean	4	3	3	3	3	3
	N	1	1	1	1	1	1
"Lopez,Ramon:PHYS-1443-001-GENERAL TECHNICAL PHYSICS I"	Mean	4.4615	4.359	4.5128	4.675	4.6316	4.475
	N	39	39	39	40	38	40
"Losh,Jason:EE-5314-001-EMBEDDED MICROCONTROLLER SYS"	Mean	4.7	4.7	4.6	4.9	4.9	5
	N	10	10	10	10	10	10
"Losh,Jason:EE-6314-001-ADV EMBEDDED MICROCNTRLR SYS"	Mean	4.75	4.64	4.64	4.88	4.84	4.9167
	N	24	25	25	25	25	24
"Lovely,Carl:CHEM-2322-001-ORGANIC CHEMISTRY"	Mean	4.4844	4.5397	4.4603	4.8125	4.6667	4.6308
	N	64	63	63	64	63	65
"Lowell,Gary:GEOL-2445-001-MINERALOGY"	Mean	4.1818	3	3.9	4.2727	3.6364	3.5455
	N	11	11	10	11	11	11
"Lowell,Gary:GEOL-2446-001-IGN / METAMORP PETROL & PETROG"	Mean	4.0714	4.0714	4.3846	4.7857	4.4286	4.1429
	N	14	14	13	14	14	14
"Lozano,Benito:ART-4200-001-PROFESSIONAL PRACTICES"	Mean	4.2258	4.1667	4.1	4.3333	4.2258	4.1613
	N	31	30	30	30	31	31
"Lozano,Benito:ART-5640-001-RESEARCH IN INTERMEDIA"	Mean	4	4	5	5	5	5
	N	1	1	1	1	1	1
"Lu,Frank:MAE-2381-001-EXPERIMENTAL METHODS & MEASURE"	Mean	3.5714	3.193	3.5517	3.8621	4.0517	3.4138
	N	56	57	58	58	58	58
"Lu,Mingyu:EE-3308-001-ELECTROMAGNETICS II"	Mean	4.1579	3.7368	4.2632	4.4211	4.2632	4.0556
	N	19	19	19	19	19	18
"Lu,Mingyu:EE-5339-001-TOPICS IN ELECTROMAGNETICS"	Mean	5	4.4286	4.7143	4.8571	5	5
	N	7	7	7	7	7	7
"Lummus,James:IE-4302-001-ENGR ADMN & ORGANIZATION (2102-22236)"	Mean	3.8621	3.2069	3.4138	3.7931	3.2069	3.1379
	N	29	29	29	29	29	29
"Lummus,James:IE-6305-001-ENGINEERING MANAGEMENT I (2102-22307)"	Mean	4.0588	3.8235	4.1765	4.3529	3.9412	4.1176
	N	17	17	17	17	17	17
"Lummus,James:IE-6305-002-ENGINEERING MANAGEMENT I (2102-22308)"	Mean	4.375	4.375	3.75	4.625	3.875	4.5
	N	8	8	8	8	8	8
"Lumpkin,Thomas:ART-3385-001-SOUND & POST PRODUCTION"	Mean	4.5	4.6	5	4.8	4.5	4.8889
	N	10	10	10	10	10	9
"Lung,Pei:FINA-5329-001-PORTFOLIO & SECURITY ANALYSIS"	Mean	4.8947	4.8421	4.9474	5	5	5
	N	19	19	19	19	19	19
"Lung,Pei:FINA-6312-001-SEMINAR THEORY OF INVESTMENTS"	Mean	4.5385	4.5385	4.6154	4.4615	4.6154	4.6154
	N	13	13	13	13	13	13
"Luo,Cheng:ME-5332-001-ENGINEERING ANALYSIS"	Mean	4.1081	4.1111	4.2778	4.1622	4.4054	4.2432
	N	37	36	36	37	37	37
"Luo,Xueming:MARK 4325 001"	Mean	4.6087	4.12	4.5833	4.5417	4.5833	4.5417
	N	23	25	24	24	24	24
"Luo,Xueming:MARK 4325 002"	Mean	4.5385	4.5385	4.5385	4.6429	4.5714	4.5714
	N	13	13	13	14	14	14
"Luo,Xueming:MARK 5331 001"	Mean	4.5	4.4545	4.5455	4.6364	4.6364	4.5833
	N	10	11	11	11	11	12
"Lusk,Sheri:SOCW-4252-002-SW FIELD II SEM"	Mean	4.7647	4.5	4.5882	4.5882	4.6471	4.75
	N	17	16	17	17	17	16
"Luttrell,Matthew:MUSI-0103-001-SYMPHONIC WINDS"	Mean	4.8	4.7308	4.72	4.7308	4.5926	4.6296
	N	25	26	25	26	27	27
"Luttrell,Matthew:MUSI-0130-001-SYMPHONIC BAND"	Mean	4.5429	4.4	4.3429	4.8529	4.5143	4.5714
	N	35	35	35	34	35	35
"Luttrell,Matthew:MUSI-4215-001-ADMINISTRATION IN MUSIC"	Mean	4.2857	4.4	4.5333	4.0667	4.4	4.2667
	N	14	15	15	15	15	15
"Macdonald,Heath:ARCH-2552-005-BASIC DESIGN AND DRAWING II"	Mean	4	4	4.3333	4.6667	2	4
	N	3	3	3	3	3	3
"Macdonnell,Frederick:CHEM-1442-004-GENERAL CHEMISTRY II"	Mean	4.3415	4.1707	4	4.3659	4.3	4.1463
	N	41	41	40	41	40	41
"Machuca,Alicia:MATH-1316-005-MATH ECON & BUS ANLYS"	Mean	4.3143	4.0588	4.1143	4.3429	4.4571	4.1765
	N	35	34	35	35	35	34
"Maddalena,Luca:MAE-2315-001-FLUID DYNAMICS"	Mean	3.8182	3.75	4.0909	4.3636	4.1515	3.6667
	N	33	32	33	33	33	33
"Madrid,Richard:MATH-2326-002-CALCULUS III"	Mean	4.3429	4.2778	4.1351	4.3056	4	4.1389
	N	35	36	37	36	35	36
