Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Cacola,Priscila:KINE-3325-001-UNDERGRADUATE RESEARCH METHODS"	Mean	4.2273	4.3182	4.5	4.6364	4.9091	4.4091
	N	22	22	22	22	22	22
"Campbell,Darlene:MATH-1302-088 / 089-COLLEGE ALGEBRA (2135-11W-0022)"	Mean	4	3	4	5	5	5
	N	1	1	1	1	1	1
"Campbell,Darlene:MATH-1302-500 & 900 COLLEGE ALGEBRA"	Mean	3.5455	3.2727	3.1111	3.875	3.0909	3.2222
	N	11	11	9	8	11	9
"Campbell,Geoffrey:JOUR-2346-001-REPORTING"	Mean	4.875	4.25	4.625	4.875	4.75	4.625
	N	8	8	8	8	8	8
"Campbell,Throy:EDAD-5380-011-DIVERSITY AND EQUITY"	Mean	4.697	4.2727	4.6061	4.6562	4.5926	4.5161
	N	33	33	33	32	27	31
"Cannon,Alan:OPMA-3306-001-OPERATIONS MANAGEMENT"	Mean	3.5	3	2.5	3.5	2.5	3
	N	4	4	4	4	4	4
"Capote,Angela:SPAN-1441-001-BEGINNING SPANISH I"	Mean	3.8	4	4.6	4.2	4.5	4.2
	N	5	5	5	5	4	5
"Card,Daren:BIOL-3454-002-GENERAL ZOOLOGY"	Mean	4.625	4.625	4.75	4.75	4.7143	4.625
	N	8	8	8	8	7	8
"Carpenter,Galen:ACCT-2301-001-PRINCIPLES OF ACCOUNTING I"	Mean	4.6667	4.5	4.5	4.8333	4.6667	4.5
	N	6	6	6	6	6	6
"Carpenter,Galen:ACCT-2302-002-PRINCIPLES OF ACCOUNTING II"	Mean	4.4545	4.4167	4.0833	4.6667	4.75	4.3636
	N	11	12	12	12	12	11
"Carpenter,Galen:ACCT-4302-001-MANAGERIAL ACCOUNTING"	Mean	4.7143	4.4286	4.5714	4.7143	4.7143	4.4286
	N	7	7	7	7	7	7
"Carpenter,Karel:CRCJ-2350-001-INTRO TO LAW ENFORCEMENT"	Mean	4.5	4.5	4.5	5	5	5
	N	2	2	2	2	2	2
"Carpenter,Karel:CRCJ-4301-001-JUDICIAL SYS"	Mean	4.5	4.5	4.5	4.5	4.6	4.6667
	N	6	6	6	6	5	6
"Carrell,Janice:MANA-3319-002-MGT PROCESS THEORY"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Carter,Larry:POLS-2312-001-STATE & LOCAL GOVT"	Mean	4.9167	4.75	4.6667	4.8333	4.7273	4.8333
	N	12	12	12	12	11	12
"Carter,Larry:POLS-5302-001-BUREAUCRATIC LEADERSHIP"	Mean	4.4	4.2	4.4	4.4	4.2	4.2
	N	5	5	5	5	5	5
"Cauble,Denise:NURS-3261-072-NURSING OF OLDER ADULTS"	Mean	4.75	4.5	4.75	4.75	4.5	4.6667
	N	4	4	4	4	4	3
"Cauble,Denise:NURS-3325-500-RN-BSN HOLISTIC CARE OLDER ADU"	Mean	4.6522	4.5652	4.5909	4.6667	4.3478	4.5652
	N	23	23	22	21	23	23
"Cauble,Denise:NURS-3325-501-RN-BSN HOLISTIC CARE OLDER ADU"	Mean	4.45	4.5	4.5263	4.4211	4.4211	4.4
	N	20	20	19	19	19	20
"Cavallo,Ann:EDUC-5359-001-ENVIR SCI ELEM & SCNDRY TCHRS"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Cavanagh,Daniel:MUSI-1302-001-HISTORY OF JAZZ"	Mean	4.5	4.75	4.25	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Chao,Shih-Ho:CE-5310-001-PLASTIC ANALYSIS & DESIGN"	Mean	4.3333	4.3333	4.3333	5	4.6667	4.3333
	N	3	3	3	3	3	3
"Chao,Shih-Ho:CE-5310-002-PLASTIC ANALYSIS & DESIGN"	Mean	5	5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Chaudhary,Rakesh:PHYS-1443-002-GENERAL TECHNICAL PHYSICS I"	Mean	4.8333	5	4.8333	4.8333	4.6	5
	N	6	6	6	6	5	6
"Chigbu,Kingsley:SOCW-3304-002-SW PRACTIC II"	Mean	4.5	4.8	4.9	4.7	4.6	4.9
	N	10	10	10	10	10	10
"Chigbu,Kingsley:SOCW-6354-001-SOC OPRSD EXCLUS & JUSTICE"	Mean	2.6667	3.4667	4	4	4	3.1875
	N	15	15	16	15	16	16
"Chittoori,Bhaskar:CE-5374-001-GROUND IMPROVEMENT"	Mean	4.5	4	5	4	5	4.5
	N	2	2	2	2	2	2
"Chittoori,Bhaskar:CE-5374-002-GROUND IMPROVEMENT"	Mean	4.5	4	4	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Choi,Chi-Young:ECON-3303-001-MONEY & BANKING"	Mean	4	5	4	4	5	4
	N	1	1	1	1	1	1
"Choi,Sl:MATH-2425-101-CALCULUS II"	Mean	4.5	4	4.5	5	4	4.5
	N	2	2	2	2	2	2
"Chonko,Lawrence:MARK-4322-001-AD MARKETING MGMT & STRATEGY"	Mean	4.5	4	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Chonko,Lawrence:MARK-5311-001-MARKETING"	Mean	3.4	2.4	3.2	3.8	4.25	3
	N	5	5	5	5	4	4
"Christie,Rechelle:ENGL-1302-Sections 700, 900 and 901 RHETORIC AND COMPOSITION II"	Mean	4.6471	4.4118	4.5	4.7059	4.4667	4.6875
	N	17	17	16	17	15	16
"Christie,Thomas:COMM-5392-001-SEMINAR"	Mean	5	4.8	4.8	5	4.6	5
	N	5	5	5	5	5	5
"Christie,Thomas:PREL-3339-001-PUBLIC RELATIONS METHODS"	Mean	4.7143	4.4286	4.7143	4.8571	4.7143	4.7143
	N	7	7	7	7	7	7
"Chrzanowski,Thomas:BIOL-3444-001-GENERAL MICROBIOLOGY"	Mean	3.8571	4.4286	4.1429	4.7143	4.4286	3.8571
	N	7	7	7	7	7	7
"Chudoba,Bernd:AE-5368-001 / 002-FLT VEHICLE SYN & SYS ENGRG"	Mean	3.3333	3.3333	3.3333	3.6667	3.3333	3.6667
	N	3	3	3	3	3	3
"Chudoba,Bernd:MAE-3306-001-FLIGHT PERFORMANCE & STABILITY"	Mean	4	4	4	4.25	3.3333	3.75
