Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Markham Shaw,Charla:COMS-4315-001-BUSINESS PRESENTATIONS"	Mean	5	5	5	5	5	5
	N	3	3	3	3	2	3
"Martin,Gyde:ENGL-3384-001-STRUC MOD ENGL"	Mean	4	4	4	4	4	4
	N	5	5	5	5	5	4
"Maruszczak,John:ARCH-4556-001-DESIGN STUDIO: ARCH III & ARCH-4557-001-DESIGN STUDIO: ARCHITECTURE IV"	Mean	4.3333	5	4.6667	5	5	4.6667
	N	3	3	3	3	3	3
"Maryol,Gladys:NURS-3352-501-THE LEGACY OF THE FAMILY"	Mean	4.4118	4.1765	4.0909	4.2121	4.129	4.0588
	N	34	34	33	33	31	34
"May,Mary:SOCW-4251-002-SOCIAL WORK FIELD SEMINAR I"	Mean	4.8	4.4	4.6	4.6	4.2	4.4
	N	5	5	5	5	5	5
"Mcconnell,Donald:ACCT-5318-001-STUDIES IN AUDITING"	Mean	5	4.3333	4.3333	5	4.6667	5
	N	3	3	3	3	3	3
"Mccourt,Kaci:ENGL-1301-001-RHETORIC AND COMPOSITION I"	Mean	4.5	3.8333	3.6667	4.3333	4.3333	4.5
	N	6	6	6	6	6	6
"Mccown,Julie:ENGL-1302-003-RHETORIC AND COMPOSITION II"	Mean	4.5	4.375	4.375	4.375	4.375	4.375
	N	8	8	8	8	8	8
"Mcdonough,Paul:HEED-3301-001-SPORTS NUTRITION"	Mean	4	3	4	4	3	4
	N	1	1	1	1	1	1
"Mcdonough,Paul:KINE-3300-001-FUNCTIONAL ANATOMY"	Mean	2.5	2.5	3.5	2	3.5	3
	N	2	2	2	2	2	2
"Mcduff,Janice:ACCT-3311-001-FINANCIAL ACCOUNTING I"	Mean	4.9167	4.75	4.6667	4.75	4.75	4.9167
	N	12	12	12	12	12	12
"Mceuen,Roby:COMM-3303-001-COMMUNICATION GRAPHICS"	Mean	4.6	4.6	4.4	4.3333	3.8667	4.6667
	N	15	15	15	15	15	15
"Mcgee,Jeffrey:HCAD-5390-040-STRATEGIC MGMT HEALTH CARE ORG"	Mean	3.5714	3.7143	4.1429	4.2857	3.8	3.7143
	N	7	7	7	7	5	7
"Mcgee,Jeffrey:MANA-5336-020-STRATEGIC MANAGEMENT"	Mean	4.5556	4.6667	4.5556	4.6667	4.625	4.6667
	N	9	9	9	9	8	9
"Mcgee,Ladorna:SOCI-3328-001 & WOMS-3328-001-MARITAL & SEXUAL LIFESTYLES"	Mean	3.5	4	3.75	4	3.3333	3.25
	N	4	4	4	4	3	4
"Mcgee,Melanie:ACCT-5302-001-ACCOUNTING ANALYSIS II"	Mean	4.8333	4.6667	4.6667	4.8333	5	4.8333
	N	6	6	6	6	6	6
"Mcghee,Tammy:SOCW-5310-001-MICRO-MACRO PRACT FIELD SEM"	Mean	4.5	4.5	4.5	4	4	4.5
	N	2	2	2	2	2	2
"Mckeever,Ashley:ENGL-1302-001-RHETORIC AND COMPOSITION II"	Mean	5	3	4	3	4	3
	N	1	1	1	1	1	1
"Mclean,Janet:NURS-3261-600-NURSING OF OLDER ADULTS"	Mean	3.25	3.3333	3.3333	2.9167	3.9167	3.25
	N	12	12	12	12	12	12
"McNabb,Christopher:BIOL-3322-001 & PSYC-3322-001-BRAIN AND BEHAVIOR"	Mean	4.4	4.25	4	4	4.8	3.8
	N	5	4	4	4	5	5
"Mehta,Madan:ARCH-3324-001 & ARCH-5324-001-ARCHITECTURAL STRUCTURES I (2135-5W1-0012)"	Mean	4.4	4	4	4.1	4.2	3.8
	N	10	10	10	10	10	10
"Mellgren,Roger:PSYC-1315- SECTIONS 700-900 & 901 INTRODUCTION TO PSYCHOLOGY"	Mean	4.25	3.75	3.75	3.75	3	3.5
	N	4	4	4	4	4	4
"Metsis,Vangelis:CSE-5311-001-DSGN & ANLY ALGORITHMS"	Mean	4.25	3.75	4.1429	4.625	4.25	3.875
	N	8	8	7	8	8	8
"Meyer,Connie:ENGL-2319-002-BRITISH LITERATURE"	Mean	4.4	4.2	4.8	4.6	4.6	4.2
	N	5	5	5	5	5	5
"Michael,Jacqueline:NURS-3425-500-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	4.3571	4.1429	4.2143	4.3571	4.0455	3.963
	N	28	28	28	28	22	27
"Michael,Jacqueline:NURS-3425-501-RN-BSN HOL HLTH ASSESS LIFESPA"	Mean	3.8824	3.7647	4	4.1875	3.6875	3.625
	N	17	17	17	16	16	16
"Michael,Jacqueline:NURS-5390-002-TOPICS IN NURSING"	Mean	4.3333	4.3333	4.5	4.8333	4.3333	4.6667
	N	6	6	6	6	6	6
"Michael,Jacqueline:NURS-5418-001-ADVANCED HEALTH ASSESSMENT"	Mean	4.5	4.5	4.6667	4.1667	4.5	3.6667
	N	6	6	6	6	6	6
"Michael,Nancy:MAE-3324-001-STRUC & MECH BEHAVIOR MATERIAL"	Mean	4.2222	3.6667	4	4.2222	4.125	3.6667
	N	9	9	9	9	8	9
"Middleton,Robert:NURS-3352-500-THE LEGACY OF THE FAMILY"	Mean	4.5556	4	4.3333	4.375	3.8333	3.875
	N	9	8	9	8	6	8
"Middleton,Robert:NURS-4455-500-RN-BSN NURSING MANAGEMENT"	Mean	4.5385	4.3704	4.5185	4.5	4.08	4.48
	N	26	27	27	26	25	25
"Miller,Barton:SOCW-6326-003-DIRECT PRACT WITH CHILD & FAM"	Mean	4.8824	4.9412	4.8824	4.9412	4.7143	4.9333
	N	17	17	17	17	14	15
"Miller,Charles:BLAW-3311-001-LAW I"	Mean	4.5	4.75	4.75	4.75	4.75	4.5
	N	4	4	4	4	4	4
"Miller,Charles:BLAW-3312-001-LAW II"	Mean	5	4.25	4.5	4.75	4.75	4
	N	4	4	4	4	4	4
"Milson,Andrew:GEOG-4301-001 & HIST-4301-001-GEOGRAPHY & CARTOGRAPHY"	Mean	4.875	4.875	5	5	4.625	4.875
	N	8	8	8	8	8	8
"Mintz-Binder,Ronda:NURS-5327-400-ANALYSIS OF THEORIES FOR NURS"	Mean	4.5	4.4545	4.3636	4.6	4.5455	4.5
	N	10	11	11	10	11	10
"Mintz-Binder,Ronda:NURS-5327-401-ANALYSIS OF THEORIES FOR NURS"	Mean	4.3333	4.2	4.6667	4.6667	4.8	4.5
	N	6	5	6	6	5	6
"Mitchell,Glenda:MATH-1331-001-GEOMETRICAL INFERENCE/REASON"	Mean	4.6	4.6	4.7	4.7	4.4444	4.9
	N	10	10	10	10	9	10
"Mitchell,Glenda:MATH-1332-002-FUNCTIONS DATA & APPLICATION"	Mean	4.5	4.375	4.75	4.75	4.375	4.875
	N	8	8	8	8	8	8
"Mohanty,Samarendra:PHYS-1441-001-GENERAL COLLEGE PHYSICS I"	Mean	4.0465	3.5952	4.186	4.1163	4.3514	3.9762
	N	43	42	43	43	37	42
"Moody,Shanna:MATH-1302-100-COLLEGE ALGEBRA"	Mean	4.6	4.4	4.4	4.6	4.6	4.6
	N	5	5	5	5	5	5
"Moon,Byungsoo:MATH-1323-001-PRECALCULUS II"	Mean	4.1111	3.2222	3.2222	4.6667	4.5556	3.3333
	N	9	9	9	9	9	9
"Moon,Jhang:POLS-2311-001-GOVT OF U S"	Mean	3	2.8	3.6	4.4	3.75	2.8
	N	5	5	5	5	4	5
"Moon,Jhang:POLS-3327-001-AMERICAN POLITICAL PARTIES"	Mean	4.5	4	4.5	4.5	4	4
	N	2	2	2	2	2	2
"Moon,Sung:SOCW-5317-001-HUMAN BEHAVIOR & DIVERSE POPS"	Mean	3.85	3.7	4.2	3.9474	3.85	3.5
	N	20	20	20	19	20	20
"Moore,Jeffrey:FINA-3317-001-FINANCIAL INSTIT & MARKETS"	Mean	4.75	4.5	4.5	5	4.5	4.75
	N	4	4	4	4	4	4
"Morris,Christopher:HIST-1312-001-HISTORY OF U.S."	Mean	4	3	5	4	4	4
	N	1	1	1	1	1	1
"Morris,Michael:POLS-2311-003-GOVT OF U S"	Mean	4.2	3.4	4	3.8	3.6667	4
	N	5	5	5	5	3	5
"Morris,Michael:POLS-2311-700 & 900 GOVERNMENT OF THE UNITED STATES (2135-DYN-0003)"	Mean	4.7407	4.3519	4.2222	4.4074	4.4375	4.2692
	N	54	54	54	54	48	52
"Moseley,Matthew:BIOL-2457-003-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.5	4.25	4.5	4.5	4.5	4.5
	N	4	4	4	4	4	4
"Moseley,Matthew:BIOL-2457-004-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.75	4.75	4.5	5	4.3333	4.75
	N	4	4	4	4	3	4
"Mosley-Eckler,Christie:SOCW-3302-001-HUM BEHAV II"	Mean	5	5	4.8	4.6	4.6	4.8
	N	5	5	5	5	5	5
"Murray,Kathleen:SOCW-2313-001-SW PRACTICE I"	Mean	4.5	5	5	4.5	4.5	5
	N	2	2	2	2	2	2
"Murray,Kathleen:SOCW-6301-003-ADVOCACY & SOCIAL POLICY"	Mean	5	5	5	5	4.6667	5
	N	3	3	3	3	3	3
"Najafi,Mohammad:CE-4305-001-TRENCHLESS TECHNOLOGY METHODS"	Mean	3.7	3.5	3.9	4	4	3.9
	N	10	10	10	10	10	10
"Najafi,Mohammad:CE-5388-001-PIPELINE CONST/TRENCHLESS TECH"	Mean	5	5	5	4	5	5
	N	1	1	1	1	1	1
"Najafi,Mohammad:CE-5388-002-PIPELINE CONST/TRENCHLESS TECH"	Mean	3.5	4	4	4	4	3.5
	N	2	2	1	1	2	2
"Narayanasamy,Arun:FINA-3313-001-BUSINESS FINANCE"	Mean	3.8333	3.8333	4	4.5	3	3.6667
	N	6	6	6	6	6	6
"Narayanasamy,Arun:FINA-3317-001-FINANCIAL INSTIT & MARKETS"	Mean	3	4	3	5	3	3
	N	1	1	1	1	1	1
"Narh,Eugenia:CHEM-1442-102-GENERAL CHEMISTRY II"	Mean	4.6667	4.6667	4.8333	4.5	4.8	4.8333
	N	6	6	6	6	5	6
"Narrett,David:HIST-1311-001-HISTORY OF U.S."	Mean	4.6667	4	4.3333	4	3.6667	3.3333
	N	3	3	3	3	3	3
"Narrett,David:HIST-3322-001-AM RVLUTN & CONSTITUTION"	Mean	4.5	4.5	4.5	4.6667	4.6667	4
	N	6	6	6	6	6	6
"Nason,Joshua:ARCH-4311-002 & ARCH-5311-002-TOPICS IN ARCHITECTURAL THEORY"	Mean	4.6667	5	5	5	5	5
	N	3	3	3	3	3	3
"Natishyn,Michael:BIOL-3322-001 & PSYC-3322-001-BRAIN AND BEHAVIOR"	Mean	4.6667	4.3333	4.5	4.6667	4.6667	4.5
	N	6	6	6	6	6	6
"Nead,Susan:COMS-1301-001-FUNDAMENTALS PUBLIC SPEAKING"	Mean	5	4	5	5	4	5
	N	1	1	1	1	1	1
"Nealy,Beatrice:SOCW-4252-002-SW FIELD II SEM"	Mean	1	1	1	1	3	2
	N	1	1	1	1	1	1
"Nelson,Larry:KINE-2301-001-TEACH GAMES FOR UNDERSTANDING"	Mean	5	5	5	4	5	5
	N	1	1	1	1	1	1
"Nelson,Larry:KINE-2301-002-TEACH GAMES FOR UNDERSTANDING"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Nelson,Matthew:BIOL-1442-001-STRUC & FUNC OF ORGANISMS"	Mean	4	4	3.875	4.125	3.8571	4.125
	N	8	8	8	8	7	8
"Nelson,Matthew:BIOL-3454-001-GENERAL ZOOLOGY"	Mean	4.6923	4.6154	4.4615	4.8462	4.6923	4.7692
	N	13	13	13	13	13	13
"Nerur,Sridhar:INSY-5373-001-INF SYS PROJECT MANAGEMENT and OPMA-3310-001 & OPMA-5364-001-PROJECT MANAGEMENT (2135-11W-0015)"	Mean	4.4444	4.1111	4.4444	4.3333	4.4444	4.5556
	N	9	9	9	9	9	9
"Newhart,Stephen:KINE-4329-001-STRENGTH & CONDITIONING"	Mean	5	5	4.8571	5	4.8571	5
	N	7	7	7	7	7	7
"Nguyen,Kytai:BE-4391-004-DIRECTED RESEARCH IN BE"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Nisttahuz,Jaime:SPAN-3304-022-SPANISH HERITAGE SPEAKERS I"	Mean	3.8333	4	4	3.8333	3.8333	3.8333
	N	6	6	6	6	6	6
"Nisttahuz,Jaime:SPAN-3305-022-SPANISH HERITAGE SPEAKERS II"	Mean	4.125	3.875	3.875	3.75	4.125	3.875
	N	8	8	8	8	8	8
"Nomura,Seiichi:MAE-2360-001-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4	4	4	4	5	5
	N	1	1	1	1	1	1
"Nomura,Seiichi:MAE-2360-002-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	4	4	5	5	5	5
	N	1	1	1	1	1	1
"Nomura,Seiichi:ME-5312-001-CONTINUUM MECHANICS"	Mean	4.7143	4.5714	4.1429	4.4286	4.6667	4.8571
	N	7	7	7	7	6	7
"Nomura,Seiichi:ME-5312-002-CONTINUUM MECHANICS"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Nordtvedt,Liliana:MANA-5336-030-STRATEGIC MANAGEMENT"	Mean	2.4286	2.5714	3.1429	3	2.8	2.4286
	N	7	7	7	7	5	7
"North,Kenda:ART-4392-003-SPECIAL STUDIES"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Noyola,Joaquin:PHYS-1444-002-GENERAL TECHNICAL PHYSICS II"	Mean	4.5	4	4.5	4.5	3	4.5
	N	2	2	2	2	2	2
"O'Connell,Kyle:BIOL-1441-002-CELL MOL BIOL"	Mean	2	2	2.25	2.5	3.75	2.25
	N	4	4	4	4	4	4
"O'Dell,James:CSE-4316-002-COMPUTER SYS DESIGN PROJECT I & CSE-4317-002-COMPUTER SYS DESIGN PROJECT II"	Mean	5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"O'Dell,James:CSE-4317-001-COMPUTER SYS DESIGN PROJECT II"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Omana,Jennifer:SPAN-3315-001-COMPOSITION THROUGH LITERATURE"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Ortiz,Andrew:ART-3352-001-DIGITAL IMAGING"	Mean	3.3333	4	4	2.6667	3.6667	3.6667
	N	3	3	3	3	3	3
"Ortiz,Catherine:SPAN-3314-001-ADVANCED SPANISH GRAMMAR"	Mean	4	3.75	3.75	4.75	4.25	4
	N	4	4	4	4	4	4
"Oyugi,Mercy:CHEM-1441-101-GENERAL CHEMISTRY I"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Ozuna,Taryn:EDAD-5388-007-EDUC POLICY ISSUES"	Mean	3	3	3.3333	3	3	3
	N	3	3	3	3	3	3
"Palko,Steffen:EDUC-5366-001-ASSESSMENT IN MIND BRAIN ED"	Mean	5	4.6	4.8	5	4.8	5
	N	5	5	5	5	5	5
"Panchal,Shweta:BIOL-1442-003-STRUC & FUNC OF ORGANISMS"	Mean	3.3077	3.2308	3.6923	4.0769	3.5833	3.2308
	N	13	13	13	13	12	13
"Pandey,Alankrita:MANA-3318-002-MANA ORG BEHAV"	Mean	3.4286	3.4286	3.8571	4.5714	4.1667	3.8571
	N	7	7	7	7	6	7
"Pant,Mohan:EDUC-5395-005-DESIGNING CLASSROOM RESEARCH"	Mean	2.7778	3.2222	3.7778	3	3.3333	2.4444
	N	9	9	9	9	9	9
"Pant,Mohan:EDUC-5397-105-IMPLMNT/DISEMINAT CLSRM RSRCH"	Mean	3.6667	3.2222	4.1111	4	4.125	3.8889
	N	9	9	9	8	8	9
"Park,Anna:PSYC-3315-001-SOCIAL PSYCHOLOGY"	Mean	5	4.8571	5	5	5	5
	N	7	7	7	7	7	7
"Park,Yeonho:CE-2312-001-STATICS/DYNAMICS NON-CE MAJORS"	Mean	4.3333	4	3.6667	5	4	4
	N	3	3	3	3	2	3
"Park,Yeonho:CE-2312-002-STATICS/DYNAMICS NON-CE MAJORS"	Mean	3.3333	3	3	2.6667	2.5	2.5
	N	3	3	3	3	2	2
"Parker,Patti:NURS-5453-001-Adult/Gerontology Nursing III"	Mean	4.6	4.5	4.5	4.5	4.2	4.6
	N	10	10	10	10	10	10
"Parks,Dylan:BIOL-1441-002-CELL MOL BIOL"	Mean	4.3333	4.6667	4.8333	4.6667	4.75	4.8333
	N	6	6	6	6	4	6
"Pasichnyk,Paul:BIOL-3454-003-GENERAL ZOOLOGY"	Mean	4.6	4.8	4.8	5	4.4	5
	N	5	5	5	5	5	5
"Patrick,Vicki:NURS-5313-001-CLINICAL PROCEDURES AP NURSES"	Mean	5	5	5	5	4.6667	5
	N	3	3	3	3	3	3
"Patrick,Vicki:NURS-5314-001-INVASIVE PROCEDURES FOR APN"	Mean	5	5	4.8571	5	4.8571	5
	N	7	7	7	7	7	7
"Pearman,Dianne:ENGL-2338-500-TECHNICAL WRITING"	Mean	4.6327	4.3673	4.5714	4.6327	4.4792	4.5102
	N	49	49	49	49	48	49
"Pellosmaa,Hollie:PSYC-1315-001-INTRO TO PSYCHOLOGY"	Mean	4.1667	3.1667	2.6667	3.8333	4.2	2.8333
	N	6	6	6	6	5	6
"Perley,Mary:NURS-5390-001-TOPICS IN NURSING"	Mean	2.75	2.5	4	3	2.25	2.75
	N	4	4	4	4	4	4
"Perrotti,Linda:PSYC-6300-001-SEMINAR IN PSYCHOLOGY"	Mean	4.6	4.6	5	4	4.5	4.6
	N	5	5	5	5	4	5
"Perryman,Derrelynn:SOCW-6325-003-ADVANCED MICRO PRACTICE"	Mean	4.4	4.6	4.8	4	4.25	4.2
	N	5	5	5	5	4	5
"Pfeiffer,Marius:SCIE-3305-001-ENVIRONMENTAL SYSTEMS"	Mean	4.125	3.625	3.875	4.5	4	3.5
	N	8	8	8	8	8	8
"Pfeiffer,Marius:SCIE-5373-001-EVOL ECOL & BIODIVERSITY"	Mean	2.25	1.75	2.5	2.3333	2	2
	N	4	4	4	3	4	4
"Phillips,Frances:NURS-5318-400-Adv Patho for Nurse Educators"	Mean	4.3333	5	4.8333	4.6667	5	5
	N	6	6	6	6	6	6
"Phillips,Frances:NURS-5319-400-Adv Pharm for Nurse Educators"	Mean	4	4	5	2	4	3
	N	1	1	1	1	1	1
"Phillips,Jodiann:NURS-5382-401-NURSING AND HEALTH CARE POLICY"	Mean	5	5	5	5	5	
	N	1	1	1	1	1	
"Pillai,Vijayan:SOCW-3301-001-HUM BEHAV I"	Mean	4.5	4	4.25	4	4.75	4
	N	4	4	4	4	4	4
"Pillai,Vijayan:SOCW-5317-001-HUMAN BEHAVIOR & DIVERSE POPS"	Mean	3.4286	3.4286	3.1429	3.4286	3.5	3.2857
	N	7	7	7	7	6	7
"Plonien,Cynthia:NURS-5343-001-LEADERSHIP & HEALTH CARE SYS"	Mean	4.6667	5	5	5	4.6667	5
	N	3	3	3	3	3	3
"Pole,Kathryn:LIST-4343-001-CONTENT AREA RDG/WRTG"	Mean	4	4.5	4.5	4.5	5	4.5
	N	2	2	2	2	2	2
"Pop,Rodica:NURS-5328-001-THEORY & RSRCH APPL IN NURSING"	Mean	4.4286	4.4286	4.4286	4.5714	4.1429	4.2857
	N	7	7	7	7	7	7
"Pop,Rodica:NURS-5328-002-THEORY & RSRCH APPL IN NURSING"	Mean	4.6667	4	4.6667	4.6667	4.3333	4.6667
	N	3	3	3	3	3	3
"Pop,Rodica:NURS-5328-400-THEORY & RSRCH APPL IN NURSING"	Mean	4.6154	4.7308	4.7308	4.7692	4.5769	4.76
	N	26	26	26	26	26	25
"Pratt,Jordan:KINE-3301-001-BIOMECHANICS OF HUMAN MOVEMENT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Prewitt,Russell:MANA-4341-001-NEGOTIATIONS & CONFLICT RESOL"	Mean	4.75	5	5	4.75	4.5	5
	N	4	4	4	4	4	4
"Pribanic-Smith,Erika:COMM-2315-001-COMMUNICATION THEORY"	Mean	4.6667	4.6667	4.3333	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Price,Joshua:ECON-3306-001-SPORTS ECONOMICS AND BUSINESS"	Mean	4.5385	4.3846	4.6154	4.8462	4.5833	4.5385
	N	13	13	13	13	12	13
"Price,Joshua:ECON-3335-001-ECONOMICS OF PUBLIC POLICIES"	Mean	5	4.9	4.8	5	4.7	4.8
	N	10	10	10	10	10	10
"Priddy,Kristen:FS-NURS-1300-001-INTRO TO PROFESSIONAL NURSING"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Putnam,Michael:COMS-1301-002-FUNDAMENTALS PUBLIC SPEAKING"	Mean	5	4	5	5		5
	N	1	1	1	1		1
"Putnam,Michael:COMS-2305-001-BUS & PROFESSIONAL COMM"	Mean	4.75	4.75	4.375	4.75	4.75	4.75
	N	8	8	8	8	8	8
"Quijano,Johansen:ENGL-2338-001-TECHNICAL WRITING"	Mean	2.75	3.25	3.5	3.5	2.25	2.75
	N	4	4	4	4	4	4
"Raja,M:BSTAT-3321-001-BUSINESS STATISTICS I"	Mean	2.8	2.4	2.2	3.4	3.6	2.2
	N	5	5	5	5	5	5
"Raja,M:INSY-4306-001-ADVANCED SYSTEMS DEVELOPMENT"	Mean	5	5	5	5	4.5	5
	N	2	2	2	2	2	2
"Raja,M:INSY-5375-020-MANAGEMENT OF INFO SYSTEMS"	Mean	2.625	2.25	2.5	3.125	3.3333	1.75
	N	8	8	8	8	6	8
"Rangel,Denise:MATH-3330-001-INTRO MATRICES/ LINEAR ALGEBRA"	Mean	3	3	2	4	4	2
	N	1	1	1	1	1	1
"Rawat,Rohit:EE-3318-001-DISCRETE SIGNALS AND SYSTEMS"	Mean	4.4444	4.3333	4.1111	4.3333	4.5556	4.2222
	N	9	9	9	9	9	9
"Ray,Allie:MATH-1426-100-CALCULUS I"	Mean	4.1429	4.1429	4.1429	4.1429	4.1429	4.1429
	N	7	7	7	7	7	7
"Ray,Asok:PHYS-5319-001-MATH METHODS IN PHYSICS III"	Mean	4	3.5	3.6667	4.2	4	3.1667
	N	6	6	6	5	4	6
"Ray,Christopher:KINE-4331-001 & KINE-5331-001-OBESITY & WEIGHT MANAGEMENT (2135-5W2-0006)"	Mean	5	5	5	5	5	5
	N	10	10	10	10	10	10
"Razavi,Seyed Mohammad:CE-2210-001-DYNAMICS"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Razavi,Seyed Mohammad:CE-2210-002-DYNAMICS"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Razavi,Seyed Mohammad:CE-2313-001-MECHANICS OF MATERIALS I"	Mean	4.5	4.5	5	5	5	5
	N	2	2	2	2	2	2
"Rehm,Michael:REAE-5317-060-REAL ESTATE CONSTRUCTION MGMT"	Mean	5	4.6667	5	5	5	5
	N	3	3	3	3	2	3
"Reid,Mary:NURS-4581-600-NURS ADULTS WITH COMPLEX NEEDS"	Mean	4.5185	3.9259	4.3704	4.7037	4.4444	3.8519
	N	27	27	27	27	27	27
"Repsis,John:ACCT-3315-001-PRINCIPLES OF FED INCOME TAX"	Mean	4.125	4	3.75	4.625	4.25	4.25
	N	8	8	8	8	8	8
"Repsis,John:ACCT-5340-001-ENTITY TAXATION"	Mean	4	3.3333	4.3333	4.6667	5	3.6667
	N	3	3	3	3	3	3
"Repsis,John:ACCT-5346-001-TAX PRACTICE & PROCEDURE"	Mean	4.3333	4.3333	4.6667	5	4.6667	4.6667
	N	3	3	3	3	3	3
"Reyes Velasco,Jacobo:BIOL-2457-005-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.6667	3	3.3333	4.3333	4	4.3333
	N	3	3	3	3	3	3
"Rhoden,Aubrey:MATH-2425-100-CALCULUS II"	Mean	4.8	4.6	4.4	4.6	4.5	4.7
	N	10	10	10	10	10	10
"Ricard,Mark:KINE-3301-001-BIOMECHANICS OF HUMAN MOVEMENT"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Richardson,Timothy:ENGL-2303-001-TOPICS IN LIT"	Mean	4.6667	4.5	4.6667	4.6667	4.6667	4.5
	N	6	6	6	6	6	6
"Richardson,Timothy:ENGL-3375-001-CREATIVE WRITNG"	Mean	4.5	4.5	4.5	4.75	4.5	4.625
	N	8	8	8	8	8	8
"Richarme,Michael:MARK-4311-001-MARKETING RESEARCH"	Mean	4.5	4.5	5	5	5	5
	N	2	2	2	2	2	1
"Richarme,Michael:MARK-5330-050-SERVICES MARKETING MANAGEMENT"	Mean	4.8462	4.6923	4.7692	4.9231	4.75	4.7692
	N	13	13	13	13	12	13
"Ridlen,Shawn:CHEM-1441-102-GENERAL CHEMISTRY I"	Mean	4.8	4.6	4.6	4.8	4.6	5
	N	5	5	5	5	5	5
"Roberto,Katherine:MANA-3319-001-MGT PROCESS THEORY"	Mean	4.8462	4.6923	4.4615	4.6154	4.6923	4.5385
	N	13	13	13	13	13	13
"Robinson,Austin:COMS-1301-002-FUNDAMENTALS PUBLIC SPEAKING"	Mean	4.6	4.2	4.4	4.6	4	4.4
	N	5	5	5	5	5	5
"Robinson,James:BIOL-1441-001-CELL MOL BIOL"	Mean	3.8824	3.7647	3.625	4	3.8333	3.9412
	N	17	17	16	17	12	17
"Robinson,James:BIOL-1441-500-CELL MOL BIOL"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Robinson,James:BIOL-1441-501-CELL MOL BIOL"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Robinson,James:BIOL-3315-001-GENETICS"	Mean	3.4615	3.6923	3.5	3.9231	3.6667	3.6923
	N	13	13	12	13	12	13
"Rodriguez Becerra,Julian:BCMN-2358-001-TELEVISION PRODUCTION I"	Mean	5	5	4.6	4.6	4.6	4.8
	N	5	5	5	5	5	5
"Rodriguez,Alejandro:CIRP-5307-001-URBANIZATION DEVELOPING WORLD"	Mean	5	4.8	4.9333	4.8667	4.8667	4.8667
	N	15	15	15	15	15	15
"Rodriguez,Alejandro:URPA-5326-001-PUBLIC BUDGETING"	Mean	4.5556	4.1111	4.2222	4.4444	4.3333	4.4444
	N	9	9	9	9	9	9
"Rodriguez,John:CRCJ-4325-001-GANGS"	Mean	4.5172	4.5517	4.7586	4.6429	4.5862	4.7241
	N	29	29	29	28	29	29
"Roelke,Corey:BIOL-1442-001-STRUC & FUNC OF ORGANISMS"	Mean	4.25	3.875	4	4.4375	4.25	3.9688
	N	32	32	31	32	32	32
"Roelke,Corey:BIOL-3310-001-SELECTED TOPICS"	Mean	4.8158	4.6667	4.7895	4.7436	4.5833	4.8718
	N	38	39	38	39	36	39
"Rogers,Jimmy:CHEM-1441-001-GENERAL CHEMISTRY I"	Mean	5	4.8	4.6	5	5	4.6
	N	5	5	5	5	5	5
"Rogers,Jimmy:CHEM-1442-001-GENERAL CHEMISTRY II"	Mean	4.8	4.6	4.6	4.92	4.5909	4.64
	N	25	25	25	25	22	25
"Rogers,K:IE-5310-001-PRODUCTION SYSTEMS DESIGN"	Mean	4	5	4.6667	5	4.3333	4.6667
	N	3	3	3	3	3	3
"Rogers,K:IE-5333-001-LOGISTICS TRANSPORT SYS DESIGN"	Mean	4.3333	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Rogers,K:IE-5333-002-LOGISTICS TRANSPORT SYS DESIGN"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Rogers,Robert:MARK-3321-001-PRINCIPLES OF MARKETING"	Mean	3.5	4	4	4	4.25	3.25
	N	4	4	4	4	4	4
"Rogers,Robert:MARK-3321-002-PRINCIPLES OF MARKETING"	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Rollins,Pamela:ENGL-1301-700-RHETORIC AND COMPOSITION I"	Mean	5	5	5	5	5	5
